hidden,batch,eta,epochs,threads,wall_s,s_per_epoch,correct,total,accuracy
10,10,3.0,3,1,4.494,1.498,8841,10000,0.8841
30,10,3.0,3,1,12.628,4.209,8440,10000,0.8440
50,10,3.0,3,1,21.204,7.068,9382,10000,0.9382
100,10,3.0,3,1,41.381,13.794,7648,10000,0.7648
200,10,3.0,3,1,82.032,27.344,4386,10000,0.4386
30,1,3.0,3,1,18.667,6.222,8267,10000,0.8267
30,5,3.0,3,1,13.317,4.439,9276,10000,0.9276
30,10,3.0,3,1,12.583,4.194,8440,10000,0.8440
30,25,3.0,3,1,12.186,4.062,8314,10000,0.8314
30,50,3.0,3,1,12.088,4.029,8160,10000,0.8160
30,100,3.0,3,1,11.970,3.990,7912,10000,0.7912
