hidden,batch,eta,epochs,threads,wall_s,s_per_epoch,correct,total,accuracy
10,10,3.0,3,1,2.301,0.767,8837,10000,0.8837
30,10,3.0,3,1,6.271,2.090,8445,10000,0.8445
50,10,3.0,3,1,10.232,3.411,9382,10000,0.9382
100,10,3.0,3,1,20.262,6.754,7638,10000,0.7638
200,10,3.0,3,1,40.226,13.409,4257,10000,0.4257
30,1,3.0,3,1,9.419,3.140,8241,10000,0.8241
30,5,3.0,3,1,6.619,2.206,9206,10000,0.9206
30,10,3.0,3,1,6.246,2.082,8445,10000,0.8445
30,25,3.0,3,1,6.022,2.007,8314,10000,0.8314
30,50,3.0,3,1,5.996,1.999,8160,10000,0.8160
30,100,3.0,3,1,5.977,1.992,7912,10000,0.7912
30,10,3.0,3,1,6.251,2.084,8445,10000,0.8445
30,10,3.0,3,1,6.241,2.080,8445,10000,0.8445
30,10,3.0,3,1,6.244,2.081,8445,10000,0.8445
30,10,3.0,3,1,6.268,2.089,8445,10000,0.8445
30,10,3.0,3,1,6.245,2.082,8445,10000,0.8445
10,1,3.0,3,1,3.025,1.008,8431,10000,0.8431
10,10,3.0,3,1,2.204,0.735,8837,10000,0.8837
10,50,3.0,3,1,2.159,0.720,8367,10000,0.8367
10,100,3.0,3,1,2.142,0.714,7897,10000,0.7897
30,1,3.0,3,1,9.490,3.163,8241,10000,0.8241
30,10,3.0,3,1,6.247,2.082,8445,10000,0.8445
30,50,3.0,3,1,6.013,2.004,8160,10000,0.8160
30,100,3.0,3,1,5.977,1.992,7912,10000,0.7912
50,1,3.0,3,1,15.967,5.322,7791,10000,0.7791
50,10,3.0,3,1,10.267,3.422,9382,10000,0.9382
50,50,3.0,3,1,9.900,3.300,8182,10000,0.8182
50,100,3.0,3,1,9.874,3.291,7907,10000,0.7907
100,1,3.0,3,1,32.119,10.706,3686,10000,0.3686
100,10,3.0,3,1,20.257,6.752,7638,10000,0.7638
100,50,3.0,3,1,19.575,6.525,7451,10000,0.7451
100,100,3.0,3,1,19.434,6.478,7294,10000,0.7294
200,1,3.0,3,1,63.633,21.211,2972,10000,0.2972
200,10,3.0,3,1,40.329,13.443,4257,10000,0.4257
200,50,3.0,3,1,38.675,12.892,4049,10000,0.4049
200,100,3.0,3,1,38.414,12.805,3990,10000,0.3990
