network,hidden,batch,eta,epochs,threads,wall_s,s_per_epoch,correct,total,accuracy
network_v1,30,10,3.0,3,1,12.854,4.285,8440,10000,0.8440
network_v1,100,10,3.0,3,1,41.475,13.825,7648,10000,0.7648
network_v1,200,10,3.0,3,1,81.494,27.165,4386,10000,0.4386
network_v1,30 30,10,3.0,3,1,13.754,4.585,9283,10000,0.9283
network_v1,100 30,10,3.0,3,1,43.109,14.370,9338,10000,0.9338
network_v1,50 50 50,10,3.0,3,1,25.446,8.482,9294,10000,0.9294
network_v1,30,10,3.0,3,1,12.669,4.223,8440,10000,0.8440
network_v1,100,10,3.0,3,1,41.126,13.709,7648,10000,0.7648
network_v1,200,10,3.0,3,1,81.743,27.248,4386,10000,0.4386
network_v1,30 30,10,3.0,3,1,13.661,4.554,9283,10000,0.9283
network_v1,100 30,10,3.0,3,1,43.118,14.373,9338,10000,0.9338
network_v1,50 50 50,10,3.0,3,1,25.545,8.515,9294,10000,0.9294
network_v1,30,10,3.0,3,1,12.690,4.230,8440,10000,0.8440
network_v1,100,10,3.0,3,1,41.339,13.780,7648,10000,0.7648
network_v1,200,10,3.0,3,1,82.015,27.338,4386,10000,0.4386
network_v1,30 30,10,3.0,3,1,13.677,4.559,9283,10000,0.9283
network_v1,100 30,10,3.0,3,1,43.047,14.349,9338,10000,0.9338
network_v1,50 50 50,10,3.0,3,1,25.515,8.505,9294,10000,0.9294
network_v1,30,1,3.0,3,1,19.009,6.336,8267,10000,0.8267
network_v1,30,5,3.0,3,1,13.354,4.451,9276,10000,0.9276
network_v1,30,10,3.0,3,1,12.696,4.232,8440,10000,0.8440
network_v1,30,25,3.0,3,1,12.271,4.090,8314,10000,0.8314
network_v1,30,50,3.0,3,1,12.096,4.032,8160,10000,0.8160
network_v1,30,100,3.0,3,1,12.147,4.049,7912,10000,0.7912
network_v1,30,1,3.0,3,1,16.076,5.359,8267,10000,0.8267
network_v1,30,5,3.0,3,1,11.396,3.799,9276,10000,0.9276
network_v1,30,10,3.0,3,1,12.663,4.221,8440,10000,0.8440
network_v1,30,25,3.0,3,1,12.293,4.098,8314,10000,0.8314
network_v1,30,50,3.0,3,1,12.135,4.045,8160,10000,0.8160
network_v1,30,100,3.0,3,1,12.074,4.025,7912,10000,0.7912
network_v1,30,1,3.0,3,1,18.644,6.215,8267,10000,0.8267
network_v1,30,5,3.0,3,1,13.302,4.434,9276,10000,0.9276
network_v1,30,10,3.0,3,1,12.772,4.257,8440,10000,0.8440
network_v1,30,25,3.0,3,1,12.242,4.081,8314,10000,0.8314
network_v1,30,50,3.0,3,1,12.239,4.080,8160,10000,0.8160
network_v1,30,100,3.0,3,1,12.054,4.018,7912,10000,0.7912
network_v2,30,10,3.0,3,1,12.092,4.031,8445,10000,0.8445
network_v2,100,10,3.0,3,1,39.203,13.068,7638,10000,0.7638
network_v2,200,10,3.0,3,1,77.690,25.897,4257,10000,0.4257
network_v2,30 30,10,3.0,3,1,12.889,4.296,9270,10000,0.9270
network_v2,100 30,10,3.0,3,1,40.953,13.651,9392,10000,0.9392
network_v2,50 50 50,10,3.0,3,1,23.754,7.918,9329,10000,0.9329
network_v2,30,10,3.0,3,1,12.272,4.091,8445,10000,0.8445
network_v2,100,10,3.0,3,1,39.178,13.059,7638,10000,0.7638
network_v2,200,10,3.0,3,1,77.572,25.857,4257,10000,0.4257
network_v2,30 30,10,3.0,3,1,12.844,4.281,9270,10000,0.9270
network_v2,100 30,10,3.0,3,1,40.942,13.647,9392,10000,0.9392
network_v2,50 50 50,10,3.0,3,1,23.744,7.915,9329,10000,0.9329
network_v2,30,10,3.0,3,1,12.066,4.022,8445,10000,0.8445
network_v2,100,10,3.0,3,1,39.200,13.067,7638,10000,0.7638
network_v2,200,10,3.0,3,1,77.562,25.854,4257,10000,0.4257
network_v2,30 30,10,3.0,3,1,12.836,4.279,9270,10000,0.9270
network_v2,100 30,10,3.0,3,1,40.931,13.644,9392,10000,0.9392
network_v2,50 50 50,10,3.0,3,1,23.768,7.923,9329,10000,0.9329
network_v2,30,1,3.0,3,1,18.545,6.182,8241,10000,0.8241
network_v2,30,5,3.0,3,1,12.778,4.259,9206,10000,0.9206
network_v2,30,10,3.0,3,1,12.065,4.022,8445,10000,0.8445
network_v2,30,25,3.0,3,1,11.668,3.889,8314,10000,0.8314
network_v2,30,50,3.0,3,1,11.697,3.899,8160,10000,0.8160
network_v2,30,100,3.0,3,1,11.621,3.874,7912,10000,0.7912
network_v2,30,1,3.0,3,1,18.505,6.168,8241,10000,0.8241
network_v2,30,5,3.0,3,1,12.776,4.259,9206,10000,0.9206
network_v2,30,10,3.0,3,1,12.092,4.031,8445,10000,0.8445
network_v2,30,25,3.0,3,1,11.723,3.908,8314,10000,0.8314
network_v2,30,50,3.0,3,1,11.649,3.883,8160,10000,0.8160
network_v2,30,100,3.0,3,1,11.609,3.870,7912,10000,0.7912
network_v2,30,1,3.0,3,1,18.412,6.137,8241,10000,0.8241
network_v2,30,5,3.0,3,1,12.771,4.257,9206,10000,0.9206
network_v2,30,10,3.0,3,1,12.094,4.031,8445,10000,0.8445
network_v2,30,25,3.0,3,1,11.684,3.895,8314,10000,0.8314
network_v2,30,50,3.0,3,1,11.675,3.892,8160,10000,0.8160
network_v2,30,100,3.0,3,1,11.624,3.875,7912,10000,0.7912
network_v3,30,10,3.0,3,1,6.181,2.060,8445,10000,0.8445
